video_id,gloss,label,split,signer_id,bbox,frame_start,frame_end,video_path
A_00000,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A683.jpg
A_00001,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2035.jpg
A_00003,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1092.jpg
A_00004,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1327.jpg
A_00005,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1519.jpg
A_00007,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1869.jpg
A_00008,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A708.jpg
A_00010,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2349.jpg
A_00011,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2951.jpg
A_00012,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A757.jpg
A_00013,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1918.jpg
A_00014,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1142.jpg
A_00016,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1503.jpg
A_00017,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A311.jpg
A_00018,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1534.jpg
A_00019,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1034.jpg
A_00020,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1844.jpg
A_00023,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A292.jpg
A_00024,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1077.jpg
A_00025,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2185.jpg
A_00026,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2302.jpg
A_00028,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A642.jpg
A_00029,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A18.jpg
A_00030,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2082.jpg
A_00032,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1941.jpg
A_00033,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2243.jpg
A_00034,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A935.jpg
A_00037,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2574.jpg
A_00038,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A344.jpg
A_00039,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2291.jpg
A_00041,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1636.jpg
A_00042,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A55.jpg
A_00043,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1217.jpg
A_00044,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1892.jpg
A_00047,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A754.jpg
A_00048,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2635.jpg
A_00050,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1860.jpg
A_00051,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A922.jpg
A_00052,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2353.jpg
A_00054,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1224.jpg
A_00055,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A78.jpg
A_00056,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1946.jpg
A_00057,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A552.jpg
A_00058,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2106.jpg
A_00059,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1485.jpg
A_00062,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2380.jpg
A_00063,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1757.jpg
A_00064,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A675.jpg
A_00065,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1482.jpg
A_00066,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1017.jpg
A_00067,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2298.jpg
A_00068,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1179.jpg
A_00069,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1685.jpg
A_00070,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1257.jpg
A_00071,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1713.jpg
A_00072,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A389.jpg
A_00074,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1344.jpg
A_00076,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1742.jpg
A_00077,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1328.jpg
A_00078,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2139.jpg
A_00079,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1583.jpg
A_00081,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A635.jpg
A_00084,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1386.jpg
A_00085,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1547.jpg
A_00086,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1039.jpg
A_00087,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1532.jpg
A_00088,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2265.jpg
A_00089,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A676.jpg
A_00090,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1359.jpg
A_00091,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2323.jpg
A_00092,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A5.jpg
A_00093,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A466.jpg
A_00094,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2320.jpg
A_00095,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1996.jpg
A_00096,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1478.jpg
A_00097,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A674.jpg
A_00098,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2019.jpg
A_00099,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A649.jpg
A_00100,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1427.jpg
A_00101,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2946.jpg
A_00102,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1030.jpg
A_00103,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2110.jpg
A_00104,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A554.jpg
A_00105,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1162.jpg
A_00107,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1312.jpg
A_00110,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A315.jpg
A_00111,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A369.jpg
A_00112,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1.jpg
A_00113,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1747.jpg
A_00114,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2365.jpg
A_00116,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2130.jpg
A_00119,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A530.jpg
A_00120,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A43.jpg
A_00121,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2030.jpg
A_00122,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A631.jpg
A_00123,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1286.jpg
A_00124,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1955.jpg
A_00125,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1056.jpg
A_00126,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1948.jpg
A_00128,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2350.jpg
A_00129,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A294.jpg
A_00131,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A1237.jpg
A_00132,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2283.jpg
A_00134,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2313.jpg
A_00135,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2647.jpg
A_00136,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A454.jpg
A_00139,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A373.jpg
A_00141,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2087.jpg
A_00143,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A2206.jpg
A_00144,A,0,train,-1,,-1,-1,data/raw/asl_alphabet_train/A/A548.jpg
